stop_id,lat,lon
1_01,35.6649178,139.6994481
1_02,35.6647487,139.6992193
1_03,35.6647111,139.6991212
10_01,35.6554852,139.6977363
100_01,35.6779671,139.7102958
100_02,35.6780394,139.7098532
101_01,35.6808103,139.7109386
101_02,35.6802504,139.7113568
102_01,35.6811651,139.7081801
102_02,35.6812417,139.70742
103_01,35.6807995,139.7056919
103_02,35.6807123,139.7053052
105_01,35.6801111,139.693676
106_01,35.6820396,139.6949819
107_01,35.6821969,139.6992205
108_01,35.6821971,139.7019902
109_01,35.6764785,139.7103524
11_01,35.6606348,139.7064657
12_01,35.6597183,139.7089925
13_01,35.6582309,139.7132283
14_01,35.6565082,139.7124478
15_01,35.6554576,139.7103639
16_01,35.6539368,139.7082257
17_01,35.6519244,139.7090958
18_01,35.649478,139.7078231
18_02,35.6500585,139.7074295
19_01,35.6472718,139.7111988
2_01,35.6585271,139.7004791
20_01,35.64711,139.71318
21_01,35.6478092,139.7164524
22_01,35.646789,139.7192643
23_01,35.6489217,139.7182267
24_01,35.6477976,139.7204967
25_01,35.6454697,139.7193642
26_01,35.6455112,139.716734
27_01,35.6437047,139.7145597
28_01,35.6433346,139.7129276
29_01,35.6435462,139.7101495
3_01,35.658305,139.7037139
30_01,35.6454891,139.7080249
31_01,35.6471454,139.7071635
32_01,35.6517746,139.7065037
33_01,35.6506704,139.7051958
34_01,35.6486576,139.7038723
35_01,35.6498316,139.7001341
36_01,35.6508544,139.6992196
37_01,35.6526116,139.6981844
38_01,35.661847,139.7007282
39_01,35.6637201,139.7012295
4_01,35.660011,139.70063873
40_01,35.6681818,139.7018256
40_02,35.6684539,139.7020266
41_01,35.6682614,139.6979425
41_02,35.668458,139.6971426
42_01,35.6676033,139.6913225
42_02,35.6677777,139.6895341
43_01,35.67007,139.68767
43_02,35.6694884,139.6880071
44_01,35.67239,139.68753
44_02,35.6721638,139.6878628
45_01,35.6748055,139.6847404
45_02,35.6742426,139.6861977
46_01,35.6756312,139.6818675
47_01,35.6767358,139.682826
47_02,35.6763672,139.6832303
48_01,35.6790094,139.6815063
48_02,35.6791208,139.6825478
49_01,35.6810372,139.6857628
49_02,35.6816284,139.6872864
5_01,35.666404,139.700679
5_02,35.6662133,139.7005628
50_01,35.6822701,139.6850061
51_01,35.6834113,139.6843984
52_01,35.684864,139.6857775
53_01,35.6868608,139.6841436
54_01,35.6876746,139.681511
55_01,35.6869162,139.6805758
56_01,35.6855995,139.6788277
57_01,35.6853311,139.6770389
58_01,35.6837767,139.6749201
59_01,35.6821244,139.6748507
6_01,35.6648027,139.701484
6_02,35.6649217,139.701386
60_01,35.6807999,139.674533
61_01,35.6789412,139.6717159
62_01,35.6788073,139.6701696
63_01,35.6767385,139.6706444
63_02,35.6779153,139.671219
64_01,35.6742407,139.6672459
65_01,35.6734035,139.6643322
66_01,35.675247,139.6638559
67_01,35.6764731,139.6672241
68_01,35.6788503,139.6738056
69_01,35.6802232,139.6776488
70_01,35.6814072,139.680891
71_01,35.6824418,139.6827166
72_01,35.6601656,139.6960069
72_02,35.6607594,139.6967879
73_01,35.6587077,139.6930231
74_01,35.6583399,139.6903045
75_01,35.6613907,139.6878215
76_01,35.6643472,139.6876486
77_01,35.6658744,139.6877753
78_01,35.6678097,139.6863045
79_01,35.6679422,139.6835403
8_01,35.6612689,139.7023729
80_01,35.6680853,139.6804123
80_02,35.6682253,139.681307
81_01,35.6691758,139.6797113
82_01,35.6657022,139.679276
83_01,35.6641108,139.679266
84_01,35.6643443,139.6854183
85_01,35.6650257,139.686617
86_01,35.6659908,139.6921705
87_01,35.6648238,139.6930707
88_01,35.6694501,139.7020715
88_02,35.6695631,139.702197
89_01,35.6693025,139.7038818
89_02,35.6686256,139.7048709
9_01,35.6559569,139.6997399
9_02,35.6559743,139.700236
90_01,35.667983,139.7067353
90_02,35.667731,139.7067863
91_01,35.6669539,139.7089515
91_02,35.6670996,139.708162
92_01,35.6658019,139.712895
92_02,35.6660888,139.7103382
93_01,35.6674028,139.7147425
94_01,35.6683822,139.7151849
94_02,35.6686469,139.7157899
95_01,35.6719322,139.7125738
95_02,35.6714339,139.7130525
96_01,35.6725756,139.7107846
96_02,35.6726863,139.7107807
97_01,35.6731888,139.7095592
97_02,35.6727247,139.7093578
98_01,35.6748196,139.7109541
98_02,35.6748147,139.7110715
99_01,35.6765645,139.7125225